"Participant","Recruitment","Experiment_StartDate","Experiment_Duration","Browser_Version","Mobile","Platform","Screen_Width","Screen_Height","Gender","Age","Education","Discipline","Student","Ethnicity","Country","Experiment_Enjoyment","Experiment_Quality","Experiment_Unusual","Experiment_PerceptionChange","Experiment_Feedback","BAIT_AI_Knowledge","BAIT_AI_Use","BAIT_4_VideosRealistic","BAIT_14_ArtRealistic","BAIT_3_VideosIssues","BAIT_2_ImagesIssues","BAIT_12_Benefit","BAIT_6_EnvironmentReal","BAIT_9_Dangerous","BAIT_13_ArtIssues","BAIT_8_TextIssues","BAIT_AttentionCheck","BAIT_1_ImagesRealistic","BAIT_5_ImitatingReality","BAIT_10_Worry","BAIT_11_Exciting","BAIT_7_TextRealistic","film_routine","film_enjoyment","film_quality","film_identification","film_empathy","media_professional","media_area","media_seniority"
"S024",NA,2025-08-01 16:37:27,32.4746,"safari 18.5.0","false","Mac OS",1512,865,"Female",49,"Doctorate","Media, Communication",NA,"White","United Kingdom",2,3,NA,NA,NA,1,"Never",3,2,3,3,3,3,2,3,5,6,3,1,3,2,0,"Very","Extremely","Very","Extremely","Extremely",TRUE,"Other","Expert"
"S025",NA,2025-08-02 11:14:05,25.6845333333333,"opera 120.0.0","false","Windows 10",1879,931,"Male",19,"High school",NA,TRUE,"White","United Kingdom",3,3,"I don't believe so, but I did sometimes find it hard to a believe the clips were human/AI","I don't believe so, but I did sometimes find it hard to a believe the clips were human/AI",NA,4,"A few times per week",2,0,3,3,5,2,4,6,5,6,5,5,3,6,3,"A little","Somewhat","Somewhat","A little","A little",FALSE,NA,NA
"S026",NA,2025-08-02 11:25:28,57.9228166666667,"chrome 133.0.0","false","Mac OS",720,644,"Female",26,"Bachelor","Arts and Humanities",FALSE,"White","United Kingdom",4,3,"I feel like the labels were random so ai sometimes labelled as human-made and vice versa.","I feel like the labels were random so ai sometimes labelled as human-made and vice versa.","maybe the meaning of 'emotional' and 'expressive' questions could be a little clearer as both are quite open to interpretation ",3,"Once a day",4,1,2,3,1,3,5,6,3,6,4,2,6,1,5,"Very","Extremely","Very","Very","Very",FALSE,NA,NA
"S027",NA,2025-08-02 17:07:00,55.6370833333333,"chrome 138.0.0","false","Mac OS",1440,812,"Male",26,"Bachelor","Engineering, Computer Science",TRUE,"White","United Kingdom",3,2,"I feel that the bottom two answer selections boxes were shifted to the side.","I feel that the bottom two answer selections boxes were shifted to the side.","I think that the experiment is a great one, however 30 minutes is very optimistic I feel. It was genuinely hard to distinguish between AI and human made clips which is interesting as AI is a focus in my degree and I feel that in the future this will get harder.",5,"Once a day",6,6,2,1,5,5,5,2,2,0,6,2,4,6,6,"Somewhat","Very","Very","Very","Very",FALSE,NA,NA
"S028",NA,2025-08-04 15:45:03,55.43455,"edge-chromium 138.0.0","false","Windows 10",1272,674,"Female",62,"High school",NA,FALSE,"White","United Kingdom",3,3,"They honestly all looked very similar and so it was very difficult to detect from a very short clip whether it was AI or human made.","They honestly all looked very similar and so it was very difficult to detect from a very short clip whether it was AI or human made.",NA,3,"A few times per day",2,2,5,6,1,4,5,6,3,6,4,6,6,4,4,"Somewhat","Very","Very","Very","Extremely",FALSE,NA,NA
"S029",NA,2025-08-05 00:40:10,38.6602,"chrome 138.0.0","false","Windows 10",1536,695,"Male",51,"Master","Psychology, Neuroscience",TRUE,"Southeast Asian","United Kingdom",0,2,NA,NA,NA,3,"A few times per month",5,5,3,3,3,4,3,3,3,6,5,5,5,5,5,"Not at all","A little","Not at all","Somewhat","Somewhat",FALSE,NA,NA
"S030",NA,2025-08-05 11:17:58,33.4194833333333,"chrome 138.0.0","false","Mac OS",1470,736,"Female",27,"Bachelor","Arts and Humanities",TRUE,"White","United Kingdom",3,3,"No","No",NA,2,"A few times per week",2,0,3,2,2,1,1,6,5,6,2,3,4,3,1,"A little","Very","Somewhat","Very","Very",FALSE,NA,NA
"S031",NA,2025-08-06 15:58:11,35.3462666666667,"chrome 138.0.0","false","Mac OS",1680,962,"Male",52,"Bachelor","Media, Communication",FALSE,"White","United Kingdom",0,3,"all very short clips - all looked like ai to me","all very short clips - all looked like ai to me","The study was too long. After about 20 images they all started to look like very generic ai.",2,"Never",4,2,4,4,3,4,5,4,4,0,4,3,5,3,4,"Very","Extremely","Very","Somewhat","Very",TRUE,"Editorial","Expert"
"S032",NA,2025-08-07 11:58:50,29.2365833333333,"chrome 137.0.0","false","Mac OS",1470,798,"Male",48,"Bachelor","Arts and Humanities",FALSE,"White","United Kingdom",2,1,"No","No",NA,1,"Never",5,0,1,4,2,3,6,6,4,0,5,0,6,2,0,"Somewhat","Very","Somewhat","Very","Extremely",TRUE,"Editorial","Experienced"
"S033",NA,2025-08-07 21:16:49,27.8617,"ios 18.5.0","true","iOS",980,1666,"Female",26,"Master","Psychology, Neuroscience",TRUE,"Mixed","United Kingdom",4,3,"No","No",NA,4,"A few times per week",3,6,5,2,5,3,2,5,6,6,3,1,3,4,2,"Very","Extremely","Very","Very","Very",FALSE,NA,NA
