"Participant","Stimulus","Rating_RT_Phase1","Condition","Enjoyable","Likeable","Pleasing","Expressive","Emotional","Participant","Stimulus","Rating_RT_Phase2","Confidence_label","by","all.x"
"yawbjcqgk1","Stimuli9","12578","Human",4,4,4,4,4,"yawbjcqgk1","Stimuli17","1561",3,"Stimulus",TRUE
"yawbjcqgk1","Stimuli30","9189","Human",0,0,0,0,0,"yawbjcqgk1","Stimuli43","1217",0,"Participant",TRUE
"yawbjcqgk1","Stimuli31","8464","Human",4,4,4,4,3,"yawbjcqgk1","Stimuli6","1465",5,"Stimulus",TRUE
"yawbjcqgk1","Stimuli63","8080","AI",2,2,2,2,2,"yawbjcqgk1","Stimuli26","1567",5,"Participant",TRUE
"yawbjcqgk1","Stimuli21","9711","Human",3,3,3,3,3,"yawbjcqgk1","stimuli1","1246",5,"Stimulus",TRUE
"yawbjcqgk1","Stimuli39","11528","AI",1,1,1,1,1,"yawbjcqgk1","Stimuli25","1144",5,"Participant",TRUE
"yawbjcqgk1","Stimuli69","12458","AI",5,5,5,5,5,"yawbjcqgk1","Stimuli36","1391",0,"Stimulus",TRUE
"yawbjcqgk1","Stimuli14","8424","Human",3,3,3,3,3,"yawbjcqgk1","Stimuli27","3336",5,"Participant",TRUE
"yawbjcqgk1","Stimuli23","7049","Human",3,3,3,3,3,"yawbjcqgk1","Stimuli41","2313",6,"Stimulus",TRUE
"yawbjcqgk1","Stimuli7","12077","Human",1,1,1,1,1,"yawbjcqgk1","Stimuli21","2761",0,"Participant",TRUE
"yawbjcqgk1","Stimuli27","8893","Human",4,4,4,4,4,"yawbjcqgk1","stimuli3","1453",0,"Stimulus",TRUE
"yawbjcqgk1","Stimuli17","7361","Human",1,1,1,1,1,"yawbjcqgk1","Stimuli44","1392",0,"Participant",TRUE
"yawbjcqgk1","Stimuli49","8018","AI",1,1,1,1,1,"yawbjcqgk1","Stimuli47","2105",0,"Stimulus",TRUE
"yawbjcqgk1","Stimuli56","7456","AI",0,0,0,0,0,"yawbjcqgk1","Stimuli55","1780",5,"Participant",TRUE
"yawbjcqgk1","Stimuli44","8404","AI",4,4,4,4,4,"yawbjcqgk1","Stimuli50","1762",6,"Stimulus",TRUE
"yawbjcqgk1","Stimuli43","10387","AI",2,2,2,2,2,"yawbjcqgk1","Stimuli31","1402",0,"Participant",TRUE
"yawbjcqgk1","Stimuli19","11802","Human",2,2,2,2,2,"yawbjcqgk1","Stimuli30","1243",0,"Stimulus",TRUE
"yawbjcqgk1","Stimuli50","19854","AI",1,1,3,4,4,"yawbjcqgk1","Stimuli63","1419",6,"Participant",TRUE
"yawbjcqgk1","Stimuli58","12705","AI",1,1,1,4,4,"yawbjcqgk1","Stimuli66","1314",0,"Stimulus",TRUE
"yawbjcqgk1","Stimuli55","11548","AI",1,1,1,4,4,"yawbjcqgk1","Stimuli15","1570",6,"Participant",TRUE
"yawbjcqgk1","Stimuli6","8455","Human",3,3,3,3,3,"yawbjcqgk1","Stimuli7","1553",0,"Stimulus",TRUE
